copy_id,book_id,media_type,checkout_status
1001,1001,paper,available
1002,1002,paper,available
1003,1003,paper,available
1004,1004,paper,available
1005,1005,audio,available
1006,1006,audio,available
1007,1007,audio,available
1008,1008,paper,available
1009,1009,paper,available
1010,1010,paper,available
1011,1011,paper,available
1012,1012,audio,available
1013,1013,audio,available
1014,1014,audio,available
1015,1015,paper,available
1016,1016,paper,available
1017,1017,paper,available
1018,1018,paper,available
1019,1019,paper,available
1020,1020,audio,available
1021,1021,paper,available
1022,1022,paper,available
1023,1023,paper,available
1024,1024,paper,available
1025,1025,paper,available
1026,1026,paper,available
1027,1027,paper,available
1028,1028,paper,available
1029,1029,audio,available
1030,1030,audio,available
1031,1031,audio,available
1032,1032,audio,available
1033,1033,audio,available
1034,1034,audio,available
1035,1035,audio,available
1036,1036,audio,available
1037,1037,audio,available
1038,1038,audio,available
1039,1039,audio,available
1040,1040,audio,available
1041,1041,paper,available
1042,1042,paper,available
1043,1043,paper,available
1044,1044,paper,available
1045,1045,paper,available
1046,1046,paper,available
1047,1047,audio,available
1048,1048,audio,available
1049,1049,audio,available
1050,1050,audio,available
1051,1051,audio,available
1052,1052,audio,available
1053,1053,audio,available
1054,1054,audio,available
1055,1055,audio,available
1056,1056,paper,available
1057,1057,paper,available
1058,1058,paper,available
1059,1059,paper,available
1060,1060,paper,available
1061,1061,paper,available
1062,1062,paper,available
1063,1063,audio,available
1064,1064,audio,available
1065,1065,paper,available
1066,1066,paper,available
1067,1067,paper,available
1068,1068,paper,available
1069,1069,paper,available
1070,1070,paper,available
1071,1071,paper,available
1072,1072,paper,available
1073,1073,paper,available
1074,1074,paper,available
1075,1075,paper,available
1076,1076,paper,available
1077,1077,paper,available
1078,1078,paper,available
1079,1079,paper,available
1080,1080,paper,available
1081,1081,paper,available
1082,1082,paper,available
1083,1083,paper,available
1084,1084,paper,available
1085,1085,paper,available
1086,1086,paper,available
1087,1087,paper,available
1088,1088,paper,available
1089,1089,paper,available
1090,1090,paper,available
1091,1091,paper,available
1092,1092,paper,available
1093,1093,paper,available
1094,1094,paper,available
1095,1095,paper,available
1096,1096,paper,available
1097,1097,paper,available
1098,1098,paper,available
1099,1099,paper,available
1100,1100,paper,available
